generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.41946650618765385,,CP(O)CCc1ccc2nc3c4c(c2c1)Cc1ccc(O)cc1C4C(=O)c1ccccc1-3,purged,<rdkit.Chem.rdchem.Mol object at 0x7def4536be20>
1,qed,0.34047248199278035,,CS(=O)CCc1ccc2nc3c4c(c5cc(F)ccc5nc4c2c1)C(O)C1CCCCC31,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b372e0>
1,qed,0.763303549612016,,CC1=c2ccccc2=c2nc3c(c4c2N1C1=CC(F)=CCC1=N4)=CC(CCN(C)O)C=N3,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b37380>
1,qed,0.762231479478294,,CN1c2c3c(nc4c2=CC(F)=CC4)=c2cc(CCS(C)=O)ccc2=CN3C2CCNCC21,purged,<rdkit.Chem.rdchem.Mol object at 0x7def56702c50>
1,qed,0.644659355640261,,C.O=C1C2=C3CC(F)=CC=C3Oc3c2c(cc2ccc(OCCO)cc32)C2CCCCC12,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b385e0>
1,qed,0.2848283188989048,,CP(O)NCc1ccc2cc3c4c(c(=O)n5c6c(nc(c2c1)c35)CC=C(F)C=6)CCCC4,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b38db0>
1,qed,0.6695238418301007,,O=C1C2CCCCC2C2=C3C(=Nc4ccc(F)cc4N13)c1cc(CCP(O)O)ccc1O2,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b39080>
2,qed,0.7899053255989439,,CC(=O)NCc1ccc2c(c1)=C1N=C3CC=C(F)C=C3N3C(C)=c4ccccc4=C(N=2)C13,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b3a200>
2,qed,0.7247563006138387,,CS(=O)CCc1ccc2c(c1)=c1nc3c(c4c1N(C=2)C1CCCCC1C4=O)=CC(F)=CC3,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b387c0>
2,qed,0.5437746806361707,,CC(C)C=Nc1ccc2c(c1)C1=Nc3ccc(F)cc3N3C(=O)C4CCCCC4C(=C13)O2,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b3a070>
2,qed,0.46929495386457865,,COCCOc1ccc2cc3c4c(c2c1)Oc1ccc(F)cc1N4C(=O)C1CCCCC31,purged,<rdkit.Chem.rdchem.Mol object at 0x7def578b8130>
2,qed,0.2615844672125259,,CN(O)CCn1ccc2nc3c4c(nc5c(n-4c(N)c4ccccc43)=CC(F)=CC5)c2c1,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265aaa20>
2,qed,0.7669014686495284,,CN1c2c3c(nc4c2=CC(F)=CC4)=c2cc(C=CS(N)=O)ccc2=CN3C2CCCCC21,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b3a5c0>
2,qed,0.6488878749417583,,O=C1C2CCCCC2c2nc3ccc(CCP(O)O)cc3c3c2N1C1=CC(F)=CCC1=N3,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265aa930>
2,qed,0.6333511453465084,,CNCCOc1ccc2cc3c4c(c2c1)OC1=CC=C(C)CC1=C4C(O)C1CCCCC31,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265aacf0>
3,qed,0.7899053255989439,,CC(=O)NCc1ccc2c(c1)=C1N=C3CC=C(F)C=C3N3C(C)=c4ccccc4=C(N=2)C13,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b3ab60>
3,qed,0.662132617667707,,CN1c2c3c(nc4c2=CC(F)=CC4)=c2cc(NCC(=O)O)ccc2=NN3C2CCCNC21,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265a8130>
3,qed,0.2528667988579407,,O=c1c2ccccc2c2nc3ccc(CCP(O)O)cc3c3nc4c(n1c32)=CC(F)=CC4,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b377e0>
3,qed,0.6800552129574109,,CC1=c2cccnc2=C2N=c3ccc(CCC(=O)O)cc3=C3Oc4ccc(F)cc4N1C32,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265a8310>
3,qed,0.22967258367125803,,O=C1C2=C(CCCC2)c2nc3ccc(C=CP(O)O)cc3c3nc4ccc(F)cc4c1c23,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b37790>
3,qed,0.624319657602282,,O=C1c2c3c(nc4c2=CC(O)=CC4)=c2cc(CCP(O)O)ccc2=CN3C2CCCCC12,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265ab1a0>
3,qed,0.19697883788144913,,O=C1c2ccccc2-c2nc3ccc(C=CP(O)O)cc3c3nc4ccc(O)cc4c1c23,purged,<rdkit.Chem.rdchem.Mol object at 0x7def49f7f920>
4,qed,0.7899053255989439,,CC(=O)NCc1ccc2c(c1)=C1N=C3CC=C(F)C=C3N3C(C)=c4ccccc4=C(N=2)C13,purged,<rdkit.Chem.rdchem.Mol object at 0x7def265a8720>
4,qed,0.6436560057405769,,CC1=c2cccnc2=C2N=c3ccc(CCC(=O)O)cc3=C3Oc4ccc(O)cc4N1C32,purged,<rdkit.Chem.rdchem.Mol object at 0x7df017b38040>
4,qed,0.7674308130912247,,CC(O)CNC1=NCC2=C(C1)C1Oc3ccc(F)cc3C3=C1C(=N2)c1ccccc1N3C,purged,<rdkit.Chem.rdchem.Mol object at 0x7def49faae80>
